location,week,mort
BE224,2023-W46,91
BE224,2023-W47,65
BE224,2023-W48,73
BE224,2023-W49,91
BE224,2023-W50,85
BE224,2023-W51,101
BE224,2023-W52,87
BE224,2024-W01,98
BE224,2024-W02,92
BE224,2024-W03,85
BE224,2024-W04,95
BE224,2024-W05,99
BE224,2024-W06,90
BE224,2024-W07,93
BE224,2024-W08,85
BE224,2024-W09,96
BE224,2024-W10,70
BE224,2024-W11,69
BE224,2024-W12,76
BE224,2024-W13,81
BE224,2024-W14,64
BE224,2024-W15,89
BE224,2024-W16,68
BE224,2024-W17,69
BE224,2024-W18,80
BE224,2024-W19,82
BE224,2024-W20,78
BE224,2024-W21,66
BE224,2024-W22,65
BE224,2024-W23,71
BE224,2024-W24,79
BE224,2024-W25,60
BE224,2024-W26,85
BE224,2024-W27,81
BE224,2024-W28,66
BE224,2024-W29,70
BE224,2024-W30,79
BE224,2024-W31,75
BE224,2024-W32,66
BE224,2024-W33,71
BE224,2024-W34,75
BE224,2024-W35,59
BE224,2024-W36,76
BE224,2024-W37,82
BE224,2024-W38,76
BE224,2024-W39,74
BE224,2024-W40,79
BE224,2024-W41,69
BE224,2024-W42,75
BE224,2024-W43,82
BE224,2024-W44,92
BE224,2024-W45,71
BE224,2024-W46,74
BE224,2024-W47,86
BE224,2024-W48,96
BE224,2024-W49,89
BE224,2024-W50,105
BE224,2024-W51,111
BE224,2024-W52,92
BE225,2022-W01,58
BE225,2022-W02,53
BE225,2022-W03,33
BE225,2022-W04,51
BE225,2022-W05,56
BE225,2022-W06,50
BE225,2022-W07,47
BE225,2022-W08,58
BE225,2022-W09,35
BE225,2022-W10,52
BE225,2022-W11,50
BE225,2022-W12,52
BE225,2022-W13,64
BE225,2022-W14,52
BE225,2022-W15,52
BE225,2022-W16,48
BE225,2022-W17,51
BE225,2022-W18,37
BE225,2022-W19,40
BE225,2022-W20,42
BE225,2022-W21,29
BE225,2022-W22,35
BE225,2022-W23,37
BE225,2022-W24,30
BE225,2022-W25,34
BE225,2022-W26,44
BE225,2022-W27,47
BE225,2022-W28,47
BE225,2022-W29,38
BE225,2022-W30,47
BE225,2022-W31,31
BE225,2022-W32,41
BE225,2022-W33,37
BE225,2022-W34,45
BE225,2022-W35,48
BE225,2022-W36,39
BE225,2022-W37,36
BE225,2022-W38,38
BE225,2022-W39,47
BE225,2022-W40,42
BE225,2022-W41,51
BE225,2022-W42,30
BE225,2022-W43,42
BE225,2022-W44,37
BE225,2022-W45,38
BE225,2022-W46,44
BE225,2022-W47,47
BE225,2022-W48,38
BE225,2022-W49,53
BE225,2022-W50,53
BE225,2022-W51,61
BE225,2022-W52,53
BE225,2023-W01,56
BE225,2023-W02,52
BE225,2023-W03,52
BE225,2023-W04,38
BE225,2023-W05,54
BE225,2023-W06,31
BE225,2023-W07,46
BE225,2023-W08,43
BE225,2023-W09,43
BE225,2023-W10,53
BE225,2023-W11,48
BE225,2023-W12,41
BE225,2023-W13,41
BE225,2023-W14,41
BE225,2023-W15,50
BE225,2023-W16,47
BE225,2023-W17,43
BE225,2023-W18,39
BE225,2023-W19,39
BE225,2023-W20,45
BE225,2023-W21,45
BE225,2023-W22,43
BE225,2023-W23,55
BE225,2023-W24,40
BE225,2023-W25,47
BE225,2023-W26,36
BE225,2023-W27,49
BE225,2023-W28,52
BE225,2023-W29,31
BE225,2023-W30,36
BE225,2023-W31,31
BE225,2023-W32,45
BE225,2023-W33,25
BE225,2023-W34,46
BE225,2023-W35,23
BE225,2023-W36,38
BE225,2023-W37,41
BE225,2023-W38,37
BE225,2023-W39,56
BE225,2023-W40,38
BE225,2023-W41,45
BE225,2023-W42,38
BE225,2023-W43,43
BE225,2023-W44,50
BE225,2023-W45,38
BE225,2023-W46,52
BE225,2023-W47,38
BE225,2023-W48,49
BE225,2023-W49,49
BE225,2023-W50,66
BE225,2023-W51,51
BE225,2023-W52,57
BE225,2024-W01,39
BE225,2024-W02,59
BE225,2024-W03,44
BE225,2024-W04,54
BE225,2024-W05,35
BE225,2024-W06,61
BE225,2024-W07,44
BE225,2024-W08,46
BE225,2024-W09,45
BE225,2024-W10,35
BE225,2024-W11,41
BE225,2024-W12,55
BE225,2024-W13,45
BE225,2024-W14,46
BE225,2024-W15,52
BE225,2024-W16,61
BE225,2024-W17,32
BE225,2024-W18,46
BE225,2024-W19,38
BE225,2024-W20,37
BE225,2024-W21,45
BE225,2024-W22,32
BE225,2024-W23,39
BE225,2024-W24,48
BE225,2024-W25,45
BE225,2024-W26,46
BE225,2024-W27,35
BE225,2024-W28,31
BE225,2024-W29,43
BE225,2024-W30,41
BE225,2024-W31,48
BE225,2024-W32,35
BE225,2024-W33,42
BE225,2024-W34,46
BE225,2024-W35,47
BE225,2024-W36,42
BE225,2024-W37,41
BE225,2024-W38,35
BE225,2024-W39,39
BE225,2024-W40,45
BE225,2024-W41,43
BE225,2024-W42,44
BE225,2024-W43,35
BE225,2024-W44,38
BE225,2024-W45,38
BE225,2024-W46,36
BE225,2024-W47,48
BE225,2024-W48,47
BE225,2024-W49,38
BE225,2024-W50,48
BE225,2024-W51,52
BE225,2024-W52,47
BE231,2022-W01,57
BE231,2022-W02,48
BE231,2022-W03,68
BE231,2022-W04,61
BE231,2022-W05,76
BE231,2022-W06,68
BE231,2022-W07,65
BE231,2022-W08,64
BE231,2022-W09,63
BE231,2022-W10,72
BE231,2022-W11,63
BE231,2022-W12,75
BE231,2022-W13,75
BE231,2022-W14,51
BE231,2022-W15,52
BE231,2022-W16,60
BE231,2022-W17,61
BE231,2022-W18,69
BE231,2022-W19,43
BE231,2022-W20,66
BE231,2022-W21,54
BE231,2022-W22,76
BE231,2022-W23,48
BE231,2022-W24,61
BE231,2022-W25,62
BE231,2022-W26,44
BE231,2022-W27,59
BE231,2022-W28,48
BE231,2022-W29,68
BE231,2022-W30,55
BE231,2022-W31,53
BE231,2022-W32,55
BE231,2022-W33,47
BE231,2022-W34,55
BE231,2022-W35,51
BE231,2022-W36,57
BE231,2022-W37,46
BE231,2022-W38,51
BE231,2022-W39,43
BE231,2022-W40,65
BE231,2022-W41,61
BE231,2022-W42,50
BE231,2022-W43,49
BE231,2022-W44,54
BE231,2022-W45,58
BE231,2022-W46,56
BE231,2022-W47,52
BE231,2022-W48,69
BE231,2022-W49,67
BE231,2022-W50,70
BE231,2022-W51,71
BE231,2022-W52,77
BE231,2023-W01,71
BE231,2023-W02,69
BE231,2023-W03,60
BE231,2023-W04,69
BE231,2023-W05,65
BE231,2023-W06,77
BE231,2023-W07,77
BE231,2023-W08,69
BE231,2023-W09,81
BE231,2023-W10,70
BE231,2023-W11,73
BE231,2023-W12,59
BE231,2023-W13,56
BE231,2023-W14,52
BE231,2023-W15,51
BE231,2023-W16,68
BE231,2023-W17,48
BE231,2023-W18,53
BE231,2023-W19,61
BE231,2023-W20,54
