location,date,mort
BE100,2016-06-17,31
BE100,2016-06-18,32
BE100,2016-06-19,22
BE100,2016-06-20,26
BE100,2016-06-21,27
BE100,2016-06-22,17
BE100,2016-06-23,23
BE100,2016-06-24,30
BE100,2016-06-25,22
BE100,2016-06-26,16
BE100,2016-06-27,21
BE100,2016-06-28,20
BE100,2016-06-29,20
BE100,2016-06-30,19
BE100,2016-07-01,31
BE100,2016-07-02,28
BE100,2016-07-03,17
BE100,2016-07-04,19
BE100,2016-07-05,19
BE100,2016-07-06,21
BE100,2016-07-07,22
BE100,2016-07-08,27
BE100,2016-07-09,26
BE100,2016-07-10,21
BE100,2016-07-11,26
BE100,2016-07-12,24
BE100,2016-07-13,18
BE100,2016-07-14,19
BE100,2016-07-15,18
BE100,2016-07-16,28
BE100,2016-07-17,27
BE100,2016-07-18,25
BE100,2016-07-19,28
BE100,2016-07-20,27
BE100,2016-07-21,29
BE100,2016-07-22,34
BE100,2016-07-23,27
BE100,2016-07-24,23
BE100,2016-07-25,26
BE100,2016-07-26,24
BE100,2016-07-27,18
BE100,2016-07-28,22
BE100,2016-07-29,24
BE100,2016-07-30,29
BE100,2016-07-31,23
BE100,2016-08-01,19
BE100,2016-08-02,23
BE100,2016-08-03,25
BE100,2016-08-04,19
BE100,2016-08-05,19
BE100,2016-08-06,20
BE100,2016-08-07,18
BE100,2016-08-08,24
BE100,2016-08-09,21
BE100,2016-08-10,26
BE100,2016-08-11,20
BE100,2016-08-12,22
BE100,2016-08-13,24
BE100,2016-08-14,29
BE100,2016-08-15,22
BE100,2016-08-16,20
BE100,2016-08-17,16
BE100,2016-08-18,29
BE100,2016-08-19,18
BE100,2016-08-20,20
BE100,2016-08-21,23
BE100,2016-08-22,24
BE100,2016-08-23,17
BE100,2016-08-24,31
BE100,2016-08-25,29
BE100,2016-08-26,25
BE100,2016-08-27,26
BE100,2016-08-28,26
BE100,2016-08-29,17
BE100,2016-08-30,15
BE100,2016-08-31,26
BE100,2016-09-01,26
BE100,2016-09-02,21
BE100,2016-09-03,22
BE100,2016-09-04,27
BE100,2016-09-05,15
BE100,2016-09-06,31
BE100,2016-09-07,31
BE100,2016-09-08,24
BE100,2016-09-09,16
BE100,2016-09-10,19
BE100,2016-09-11,18
BE100,2016-09-12,30
BE100,2016-09-13,31
BE100,2016-09-14,30
BE100,2016-09-15,15
BE100,2016-09-16,25
BE100,2016-09-17,21
BE100,2016-09-18,13
BE100,2016-09-19,20
BE100,2016-09-20,19
BE100,2016-09-21,11
BE100,2016-09-22,26
BE100,2016-09-23,19
BE100,2016-09-24,16
BE100,2016-09-25,22
BE100,2016-09-26,32
BE100,2016-09-27,24
BE100,2016-09-28,26
BE100,2016-09-29,26
BE100,2016-09-30,25
BE100,2016-10-01,19
BE100,2016-10-02,13
BE100,2016-10-03,21
BE100,2016-10-04,14
BE100,2016-10-05,28
BE100,2016-10-06,16
BE100,2016-10-07,25
BE100,2016-10-08,25
BE100,2016-10-09,26
BE100,2016-10-10,19
BE100,2016-10-11,31
BE100,2016-10-12,23
BE100,2016-10-13,26
BE100,2016-10-14,33
BE100,2016-10-15,22
BE100,2016-10-16,16
BE100,2016-10-17,27
BE100,2016-10-18,29
BE100,2016-10-19,25
BE100,2016-10-20,24
BE100,2016-10-21,24
BE100,2016-10-22,27
BE100,2016-10-23,24
BE100,2016-10-24,24
BE100,2016-10-25,22
BE100,2016-10-26,22
BE100,2016-10-27,24
BE100,2016-10-28,24
BE100,2016-10-29,26
BE100,2016-10-30,22
BE100,2016-10-31,31
BE100,2016-11-01,23
BE100,2016-11-02,23
BE100,2016-11-03,22
BE100,2016-11-04,22
BE100,2016-11-05,20
BE100,2016-11-06,24
BE100,2016-11-07,26
BE100,2016-11-08,30
BE100,2016-11-09,36
BE100,2016-11-10,36
BE100,2016-11-11,26
BE100,2016-11-12,20
BE100,2016-11-13,18
BE100,2016-11-14,25
BE100,2016-11-15,30
BE100,2016-11-16,27
BE100,2016-11-17,29
BE100,2016-11-18,26
BE100,2016-11-19,30
BE100,2016-11-20,22
BE100,2016-11-21,40
BE100,2016-11-22,25
BE100,2016-11-23,21
BE100,2016-11-24,18
BE100,2016-11-25,29
BE100,2016-11-26,29
BE100,2016-11-27,24
BE100,2016-11-28,19
BE100,2016-11-29,23
BE100,2016-11-30,28
BE100,2016-12-01,32
BE100,2016-12-02,34
BE100,2016-12-03,27
BE100,2016-12-04,28
BE100,2016-12-05,24
BE100,2016-12-06,22
BE100,2016-12-07,29
BE100,2016-12-08,29
BE100,2016-12-09,24
BE100,2016-12-10,24
BE100,2016-12-11,26
BE100,2016-12-12,30
BE100,2016-12-13,26
BE100,2016-12-14,26
BE100,2016-12-15,27
BE100,2016-12-16,25
BE100,2016-12-17,24
BE100,2016-12-18,36
BE100,2016-12-19,16
BE100,2016-12-20,19
BE100,2016-12-21,25
BE100,2016-12-22,26
BE100,2016-12-23,26
BE100,2016-12-24,24
BE100,2016-12-25,22
BE100,2016-12-26,39
BE100,2016-12-27,27
BE100,2016-12-28,32
BE100,2016-12-29,29
BE100,2016-12-30,38
BE100,2016-12-31,31
BE100,2017-01-01,25
BE100,2017-01-02,34
BE100,2017-01-03,32
BE100,2017-01-04,21
BE100,2017-01-05,26
BE100,2017-01-06,28
BE100,2017-01-07,28
BE100,2017-01-08,29
BE100,2017-01-09,27
BE100,2017-01-10,30
BE100,2017-01-11,37
BE100,2017-01-12,34
BE100,2017-01-13,33
BE100,2017-01-14,35
BE100,2017-01-15,33
BE100,2017-01-16,25
BE100,2017-01-17,34
BE100,2017-01-18,27
BE100,2017-01-19,30
BE100,2017-01-20,31
BE100,2017-01-21,33
BE100,2017-01-22,37
BE100,2017-01-23,27
BE100,2017-01-24,32
BE100,2017-01-25,40
BE100,2017-01-26,24
BE100,2017-01-27,28
BE100,2017-01-28,37
BE100,2017-01-29,31
BE100,2017-01-30,33
BE100,2017-01-31,35
BE100,2017-02-01,33
BE100,2017-02-02,34
BE100,2017-02-03,30
BE100,2017-02-04,29
BE100,2017-02-05,26
BE100,2017-02-06,38
BE100,2017-02-07,31
BE100,2017-02-08,23
BE100,2017-02-09,26
BE100,2017-02-10,21
BE100,2017-02-11,21
BE100,2017-02-12,23
BE100,2017-02-13,28
BE100,2017-02-14,30
BE100,2017-02-15,17
BE100,2017-02-16,39
BE100,2017-02-17,22
